timestamp,open,high,low,close,volume
1718496000,2.25,2.28,2.22,2.23,4444.3070065
1718582400,2.23,2.25,2.1,2.18,25519.50953369
1718668800,2.17,2.2,2.03,2.12,17708.44319356
1718755200,2.11,2.24,2.07,2.11,12760.81274707
1718841600,2.1,2.19,2.04,2.07,40486.05615568
1718928000,2.07,2.1,2.04,2.08,6537.46825066
1719014400,2.06,2.19,2.06,2.16,6914.74086427
1719100800,2.18,2.19,2.07,2.08,8554.13233559
1719187200,2.08,2.09,2.01,2.04,5095.37485147
1719273600,2.05,2.16,2.05,2.06,9516.3002304
1719360000,2.09,2.09,2.03,2.07,5211.32049322
1719446400,2.04,2.1,2.02,2.05,4461.99147607
1719532800,2.03,2.75,1.97,2.63,53483.36329088
1719619200,2.63,2.64,2.23,2.26,32055.72678272
1719705600,2.24,2.29,2.13,2.19,7389.30447293
1719792000,2.19,2.45,1.97,2.11,37111.69051571
1719878400,2.1,2.28,2.0,2.02,19164.47252845
1719964800,2.01,2.08,1.81,1.83,27594.85155242
1720051200,1.85,1.85,1.7,1.79,20065.38480116
1720137600,1.76,1.92,1.62,1.85,37296.87091137
1720224000,1.85,1.86,1.7,1.77,4915.18186379
1720310400,1.82,1.83,1.69,1.77,8326.92820477
1720396800,1.72,1.77,1.68,1.74,6972.15566573
1720483200,1.73,1.9,1.71,1.9,9527.06953604
1720569600,1.88,2.08,1.84,1.87,17251.00255739
1720656000,1.88,1.91,1.83,1.88,11019.34831132
1720742400,1.89,1.94,1.82,1.93,7710.28788858
1720828800,1.93,1.95,1.91,1.92,1134.40015313
1720915200,1.94,2.07,1.94,1.98,10183.92081305
1721001600,1.98,2.25,1.88,2.15,30232.88265137
1721088000,2.15,2.23,1.97,2.11,16614.53331397
1721174400,2.11,2.13,2.05,2.06,7237.8963302
1721260800,2.05,2.07,2.01,2.01,5229.42531564
1721347200,2.0,2.12,2.0,2.08,3711.36963697
1721433600,2.11,2.23,2.07,2.11,8575.7258904
1721520000,2.08,2.2,2.08,2.14,13095.23838768
1721606400,2.12,2.16,2.08,2.12,12355.38529251
1721692800,2.13,2.13,2.04,2.08,8575.42235928
1721779200,2.05,2.08,1.95,1.98,12971.4690186
1721865600,1.98,1.98,1.86,1.93,12153.06388346
1721952000,1.92,1.99,1.91,1.97,9140.86495995
1722038400,1.97,2.04,1.95,1.98,14552.35149602
1722124800,1.97,2.0,1.95,2.0,3387.33411566
1722211200,1.99,2.04,1.95,1.97,2772.70887477
1722297600,1.98,2.07,1.95,1.96,11618.62689917
1722384000,1.96,1.98,1.92,1.92,1969.66825461
1722470400,1.93,1.94,1.8,1.88,7736.65812229
1722556800,1.88,1.9,1.73,1.75,13940.15920276
