epoch,neurons,synapses,firing_rate,connectivity,synchrony
0,25,31,2,0,0
1,25,31,4,0,0
2,25,31,7,0,0
3,25,31,9,0,0
4,25,31,11,0,0
5,25,31,13,0,0
6,25,31,16,0,0
7,25,31,18,0,0
8,25,31,21,0,0
9,25,31,23,0,0
10,25,31,26,0,0
11,25,31,28,0,0
12,25,31,31,0,0
13,25,31,33,0,0
14,25,31,36,0,0
15,25,31,38,0,0
16,25,31,41,0,0
17,25,31,43,0,0
18,25,31,44,0,0
19,25,31,44,0,0
20,25,31,45,0,0
21,25,31,44,0,0
22,25,31,45,0,0
23,25,31,45,0,0
24,25,31,45,0,0
25,25,31,45,0,0
26,25,31,45,0,0
27,25,31,45,0,0
28,25,31,45,0,0
29,25,31,45,0,0
30,25,31,45,0,0
31,25,31,45,0,0
32,25,31,45,0,0
33,25,31,45,0,0
34,25,31,45,0,0
35,25,31,45,0,0
36,25,31,45,0,0
37,25,31,45,0,0
38,25,31,45,0,0
39,25,31,45,0,0
40,25,31,46,0,0
41,25,31,45,0,0
42,25,31,46,0,0
43,25,31,45,0,0
44,25,31,46,0,0
45,25,31,45,0,0
46,25,31,45,0,0
47,25,31,45,0,0
48,25,31,45,0,0
49,25,31,45,0,0
